model,channel,mode,resolution,output_s,audio,latency_s,latency_type,date,n,source_url,primary_or_secondary,notes
MiniMax H3 (official API),OpenRouter,T2V,2560x1440 (2K),5 / 8,on,"162.0 (example) / 264.2 min, median 295.1 (benchmark n=12)",e2e,2026-08-03 / 08-26..31,1 / 12,model-examples + arena API,P,
MiniMax H3 (official API),OpenRouter live traffic,mixed,2K,avg 8.0,on,333 median of daily p50,e2e p50,2026-09-17..24,5.6k req/7d,latency-e2e-comparison API,P,
MiniMax H3 (official API),Replicate,I2V,2K,5,on,189.3 (predict_time),upstream wait,2026-08-13,1,https://replicate.com/minimax/h3,P,
MiniMax H3 open weights,WaveSpeed own GPUs,T2V / I2V / R2V / extend,480p,5,on,21.0 / 24.0 / 26.5 / 38.4 (timings.inference),GPU inference (hardware undisclosed),2026-09-05,1 each,https://wavespeed.ai/models/wavespeed-ai/minimax-h3/text-to-video,P (host),
MiniMax H3 Max (fal post-train),"fal (fal-hosted, GB200 NVL72)",T2V / I2V,768p,5,on,2.53 / 2.77,"DiT denoise only (""timings.inference"")",2026-08/09,1 each,https://fal.ai/models/minimax/h3-max/text-to-video,P (host),"fal: ""5-second video in under 3 seconds"""
MiniMax H3 Max,OpenRouter (provider: MiniMax),T2V,1344x768,5 / 8,on,"12.4 (example) / 42.1 min, median 62.7 (benchmark n=11, 2026-09-03)",e2e,2026-09-02/03,1 / 11,model-examples + arena API,P,
MiniMax H3 Max,OpenRouter live traffic,mixed,480p/768p,avg 7.4,on,14-15 daily p50,e2e p50,2026-09-17..24,6.7k req/7d,latency API,P,
MiniMax H3 (SGLang self-host),SGLang cookbook,FL2VA,1344x768,5.17,on,74.38 (4xH200); 19.04 (8xB300),"measured, 50 steps",2026-08/09,-,https://docs.sglang.io/cookbook/diffusion/MiniMax/MiniMax-H3,P,first pass
Hailuo 2.3,Replicate,T2V,768p,6,n/a,93.9,upstream wait,2025-10-26,1,https://replicate.com/minimax/hailuo-2.3,P,legacy
Hailuo 2.3 Fast,Replicate,I2V,768p,10,n/a,172.1,upstream wait,2025-10-27,1,https://replicate.com/minimax/hailuo-2.3-fast,P,legacy
Hailuo 02,Replicate,T2V,1080p,6,n/a,214.7,upstream wait,2025-08-02,1,https://replicate.com/minimax/hailuo-02,P,legacy
